catalogue,leader07_bibliographicLevel_ss,leader06_typeOfRecord_ss,count
loc,"Monographic component part","Two-dimensional nonprojectable graphic",2078
loc,"Monographic component part","Language material",925
loc,"Monographic component part","Manuscript notated music",158
loc,"Monographic component part","Notated music",54
loc,"Monographic component part","Cartographic material",50
loc,"Monographic component part","Manuscript language material",31
loc,"Monographic component part","Musical sound recording",25
loc,"Monographic component part","Computer file",17
loc,"Monographic component part","Nonmusical sound recording",4
loc,"Monographic component part","Three-dimensional artifact or naturally occurring object",3
loc,"Monographic component part","Mixed materials",2
loc,"Serial component part","Two-dimensional nonprojectable graphic",83
loc,"Serial component part","Cartographic material",1
nfi,Monograph/Item,"Language material",887636
nfi,Monograph/Item,"Cartographic material",56559
nfi,Monograph/Item,"Nonmusical sound recording",11104
nfi,Monograph/Item,Kit,1874
nfi,Monograph/Item,"Computer file",895
nfi,Monograph/Item,"Notated music",466
nfi,Monograph/Item,"Two-dimensional nonprojectable graphic",352
nfi,Monograph/Item,"Projected medium",285
nfi,Monograph/Item,"Musical sound recording",202
nfi,Monograph/Item,"Mixed materials",8
nfi,Monograph/Item,"Manuscript language material",5
nfi,Monograph/Item,"Manuscript cartographic material",4
nfi,Monograph/Item,"Three-dimensional artifact or naturally occurring object",1
nfi,Serial,"Language material",68292
nfi,Serial,"Nonmusical sound recording",318
nfi,Serial,Kit,9
nfi,Serial,"Cartographic material",5
nfi,Serial,"Computer file",3
nfi,Serial,"Projected medium",3
nfi,Subunit,"Language material",5591
nfi,Subunit,"Three-dimensional artifact or naturally occurring object",875
nfi,Subunit,"Two-dimensional nonprojectable graphic",51
nfi,Subunit,"Mixed materials",1
nfi,"Serial component part","Language material",3567
nfi,"Serial component part","Cartographic material",61
nfi,Collection,"Language material",182
nfi,Collection,"Mixed materials",168
nfi,Collection,"Three-dimensional artifact or naturally occurring object",7
nfi,Collection,"Computer file",3
nfi,Collection,"Cartographic material",1
nfi,Collection,"Two-dimensional nonprojectable graphic",1
nfi,"Integrating resource","Language material",318
nfi,"Monographic component part","Cartographic material",257
nfi,"Monographic component part","Language material",7
nfi," ","Language material",1
onb,Monograph/Item,"Language material",3110046
